$$SOE
2458978.500000000, A.D. 2020-May-09 00:00:00.0000,  6.972967102146373E-01,  8.009492521966096E+03,  6.372342693622309E+01,  3.046728118739627E+02,  2.699606326090898E+02,  2.458978458634716E+06,  8.404458321775022E-03,  3.003720275533384E+01,  1.146673818508783E+02,  2.645987933479474E+04,  4.491026614762338E+04,  4.283440838385501E+04,
2458978.833333333, A.D. 2020-May-09 08:00:00.0000,  6.973196879731567E-01,  8.007503270143826E+03,  6.371866685395113E+01,  3.046242256233273E+02,  2.699657295083508E+02,  2.458978954335886E+06,  8.406633020005603E-03,  2.721118417920242E+02,  2.064368196440312E+02,  2.645531589591358E+04,  4.490312852168333E+04,  4.282332762037947E+04,
2458979.166666667, A.D. 2020-May-09 16:00:00.0000,  6.973501128871340E-01,  8.006818806707277E+03,  6.371747809527574E+01,  3.045875994383235E+02,  2.699561766747937E+02,  2.458978954353712E+06,  8.406443343897016E-03,  1.542064459286530E+02,  1.735203358356321E+02,  2.645571383848337E+04,  4.490460887025946E+04,  4.282429385090140E+04,
2458979.500000000, A.D. 2020-May-10 00:00:00.0000,  6.971978106474780E-01,  8.011585471507418E+03,  6.372347802037660E+01,  3.045497210740608E+02,  2.699600915372466E+02,  2.458979450036510E+06,  8.405282754994270E-03,  3.628430707970459E+01,  1.221977292350888E+02,  2.645814909277403E+04,  4.490471271404064E+04,  4.283020696550563E+04,
2458979.833333333, A.D. 2020-May-10 08:00:00.0000,  6.972176330127591E-01,  8.010247146942814E+03,  6.371983325191724E+01,  3.045011644212264E+02,  2.699672907519036E+02,  2.458979945742774E+06,  8.406563784667479E-03,  2.783539754827690E+02,  2.089239349203058E+02,  2.645546115068306E+04,  4.490067515442330E+04,  4.282368030759428E+04,
2458980.166666667, A.D. 2020-May-10 16:00:00.0000,  6.972568162970929E-01,  8.009339686006462E+03,  6.371821582792549E+01,  3.044654043599370E+02,  2.699575813179094E+02,  2.458979945760653E+06,  8.406360451225496E-03,  1.604461456593375E+02,  1.751070889186364E+02,  2.645588775292238E+04,  4.490243581983829E+04,  4.282471612878775E+04,
2458980.500000000, A.D. 2020-May-11 00:00:00.0000,  6.971010662923948E-01,  8.013848799803818E+03,  6.372333595854730E+01,  3.044289538124719E+02,  2.699575518501458E+02,  2.458980441444906E+06,  8.405748994275049E-03,  4.252603002637436E+01,  1.282296927947993E+02,  2.645717071932566E+04,  4.490049263884750E+04,  4.282783131463802E+04,
2458980.833333333, A.D. 2020-May-11 08:00:00.0000,  6.971123862411783E-01,  8.013087078904428E+03,  6.372068799399414E+01,  3.043806899327977E+02,  2.699660543496269E+02,  2.458980937155746E+06,  8.406476320863554E-03,  2.845917515688794E+02,  2.116117195069875E+02,  2.645564465136881E+04,  4.489820222383319E+04,  4.282412585955147E+04,
2458981.166666667, A.D. 2020-May-11 16:00:00.0000,  6.971643431461332E-01,  8.011841114770793E+03,  6.371855489772390E+01,  3.043456376692555E+02,  2.699564025010441E+02,  2.458980937173489E+06,  8.406273936968281E-03,  1.666813691821260E+02,  1.766764980596476E+02,  2.645606926874172E+04,  4.490029742271265E+04,  4.282515686490152E+04,
2458981.500000000, A.D. 2020-May-12 00:00:00.0000,  6.970148940526373E-01,  8.015971440767313E+03,  6.372284017250124E+01,  3.043102124374964E+02,  2.699530828656041E+02,  2.458981432859484E+06,  8.405996312717800E-03,  4.876268516232678E+01,  1.332397980061220E+02,  2.645665177403114E+04,  4.489733210729496E+04,  4.282657124835283E+04,
2458981.833333333, A.D. 2020-May-12 08:00:00.0000,  6.970160745094757E-01,  8.015706245612913E+03,  6.372109998199601E+01,  3.042622186175905E+02,  2.699623089012641E+02,  2.458981928574716E+06,  8.406364349541767E-03,  2.908252427956843E+02,  2.145445169585801E+02,  2.645587957392677E+04,  4.489605290224063E+04,  4.282469626951439E+04,
2458982.166666667, A.D. 2020-May-12 16:00:00.0000,  6.970837340434746E-01,  8.014030675689093E+03,  6.371839668873940E+01,  3.042275709914093E+02,  2.699531312477679E+02,  2.458981928592459E+06,  8.406184313864576E-03,  1.729119460230369E+02,  1.782341670046881E+02,  2.645625731052446E+04,  4.489848394535983E+04,  4.282561344821349E+04,
2458982.500000000, A.D. 2020-May-13 00:00:00.0000,  6.969467785912244E-01,  8.017702423553612E+03,  6.372192522162293E+01,  3.041927334827274E+02,  2.699472350657988E+02,  2.458982424280709E+06,  8.406108166126806E-03,  5.499399294636758E+01,  1.375191249739885E+02,  2.645641708173389E+04,  4.489513173991417E+04,  4.282600138916288E+04,
2458982.833333333, A.D. 2020-May-13 08:00:00.0000,  6.969374848185663E-01,  8.017878436563657E+03,  6.372105866516410E+01,  3.041448380491326E+02,  2.699567880139637E+02,  2.458982920000446E+06,  8.406218041226744E-03,  2.970539158847101E+02,  2.177809350810547E+02,  2.645618654541826E+04,  4.489449465427286E+04,  4.282544162362271E+04,
2458983.166666667, A.D. 2020-May-13 16:00:00.0000,  6.970220610670311E-01,  8.015720938424085E+03,  6.371775879266747E+01,  3.041102263686408E+02,  2.699486362974262E+02,  2.458982920018600E+06,  8.406092090385772E-03,  1.791371252622974E+02,  1.797851542790142E+02,  2.645645081174538E+04,  4.489718068506667E+04,  4.282608328925396E+04,
2458983.500000000, A.D. 2020-May-14 00:00:00.0000,  6.969008847249406E-01,  8.018899998699122E+03,  6.372063041705843E+01,  3.040755563895538E+02,  2.699408641456375E+02,  2.458983415709793E+06,  8.406134287546826E-03,  6.121913485957833E+01,  1.412554774502552E+02,  2.645636227417574E+04,  4.489382454965235E+04,  4.282586831063572E+04,
